Title,Type,Creation Date,Days Since Creation,Training Materials,Sessions,Enrollments,Not Started,Stuck,Completed
,,US Navy - BDOC (2024),106,4,E-learning,{'2024-12-04': 25},1,2,{'2024-12-04': 22}
PAID_Amazon_DEIB,,Amazon DEIB X Impact Program Introduction,114,1,E-learning,{'2024-12-04': 1},8,1,{'2024-12-04': 115}
,,Conclusion to the Facilitator Learning Plan,120,2,E-learning,{'2024-12-04': 0},0,0,{'2024-12-04': 0}
,,Profile Setup Optional Guide,120,3,E-learning,{'2024-12-04': 0},0,0,{'2024-12-04': 0}
,,BetterUp Compensation Philosophy,120,0,E-learning,{'2024-12-04': 0},0,0,{'2024-12-04': 0}
,,Whole Person Model Overview for Facilitators,120,2,E-learning,{'2024-12-04': 1},0,1,{'2024-12-04': 0}
,,Welcome to the BetterUp Facilitator Onboarding,120,2,E-learning,{'2024-12-04': 0},0,0,{'2024-12-04': 0}
,,All Together Q2 2024: A virtual gathering of all BetterUp Coaches and staff,121,1,E-learning,{'2024-12-04': 109},2,0,{'2024-12-04': 107}
,,BU4BU Sales Performance Program,127,7,E-learning,{'2024-12-04': 24},0,1,{'2024-12-04': 23}
G2024-Coach12,,"Own Your Impact by Leaning-in to Connection (Live attendance, Gather 2024)",134,4,E-learning,{'2024-12-04': 29},0,0,{'2024-12-04': 29}
G2024-Coach11,,"Building an Incredible Personal Brand (Live attendance, Gather 2024)",134,4,E-learning,{'2024-12-04': 28},0,0,{'2024-12-04': 28}
G2024-Coach10,,"Stepping into your true greatness: Mind, Body & Spirit (Live attendance, Gather 2024)",134,4,E-learning,{'2024-12-04': 21},0,0,{'2024-12-04': 21}
G2024-Coach9,,"Find Your Balance (Live attendance, Gather 2024)",134,4,E-learning,{'2024-12-04': 32},0,0,{'2024-12-04': 32}
G2024-Coach8,,"Powerful Pressure: MCC concepts for a more transformational conversation (Live attendance, Gather 2024)",134,4,E-learning,{'2024-12-04': 83},0,0,{'2024-12-04': 83}
G2024-Keynote4,,"Master Your Change Mindset (Live attendance, Gather 2024)",134,6,E-learning,{'2024-12-04': 32},0,0,{'2024-12-04': 32}
G2024-Keynote3,,"Peace Under Pressure (Live attendance, Gather 2024)",145,4,E-learning,{'2024-12-04': 248},0,0,{'2024-12-04': 248}
G2024-Coach7,,"Introduction to Voice Dialogue (Live attendance, Gather 2024)",145,5,E-learning,{'2024-12-04': 18},0,0,{'2024-12-04': 18}
G2024-Coach6,,"Emociones como radar (Live attendance, Gather 2024)",145,5,E-learning,{'2024-12-04': 18},0,0,{'2024-12-04': 18}
G2024-Coach5,,"Deep Coaching: A New Paradigm for Transformation (Live attendance, Gather 2024)",145,5,E-learning,{'2024-12-04': 14},0,0,{'2024-12-04': 14}
G2024-Coach4,,"La Verdad Sobre el Síndrome del Impostor (Live attendance, Gather 2024)",145,5,E-learning,{'2024-12-04': 0},0,0,{'2024-12-04': 0}
G2024-Coach3,,"Principios y Métodos del Coaching de Equipos (Live attendance, Gather 2024)",145,5,E-learning,{'2024-12-04': 15},0,0,{'2024-12-04': 15}
G2024-Keynote2,,"Limitless Potential with Mindfulness-Based Performance (Live attendance, Gather 2024)",146,5,E-learning,{'2024-12-04': 21},0,0,{'2024-12-04': 21}
G2024-Coach2,,"The Humanity of Coaches Roundtable Discussion (Live attendance, Gather 2024)",146,5,E-learning,{'2024-12-04': 20},0,0,{'2024-12-04': 20}
G2024-Keynote1,,"Envisioning the Future of BetterUp (Live attendance, Gather 2024)",146,5,E-learning,{'2024-12-04': 259},0,1,{'2024-12-04': 258}
G2024-Coach1,,"Unmasking the Hero Within: A Journey of Self-Discovery (Live attendance, Gather 2024)",147,4,E-learning,{'2024-12-04': 65},0,0,{'2024-12-04': 65}
,,Novartis Coach Briefing - Live Session Recording 6/26/24,158,1,E-learning,{'2024-12-04': 118},5,21,{'2024-12-04': 92}
,,Health Care Services Corporation - Director Tripartite Coaching,159,4,E-learning,{'2024-12-04': 40},1,7,{'2024-12-04': 32}
,,Rolls-Royce Team_2024,183,3,E-learning,{'2024-12-04': 1},0,0,{'2024-12-04': 1}
,,Bayer - DSO VACC Program,184,4,E-learning,{'2024-12-04': 4},0,1,{'2024-12-04': 3}
,,The LEGO Group - Navigator Programme - Coach Briefing,188,7,E-learning,{'2024-12-04': 57},2,7,{'2024-12-04': 48}
,,Unilever- Leading through Change 2024,189,5,E-learning,{'2024-12-04': 10},2,3,{'2024-12-04': 5}
,,Coaching Circles: ASML 2024,202,13,E-learning,{'2024-12-04': 47},2,15,{'2024-12-04': 30}
,,Coach Overview - Uplift Promotion Sales Performance Trials,203,1,E-learning,{'2024-12-04': 6},0,2,{'2024-12-04': 4}
,,Coach Overview - Uplift Promotion Sales Trials,207,1,E-learning,{'2024-12-04': 43},3,0,{'2024-12-04': 40}
,,BetterUp Manage Sales Performance for IBM — Resources & Recordings,218,3,E-learning,{'2024-12-04': 94},28,27,{'2024-12-04': 39}
,,Understanding Manage Circles (new),219,12,E-learning,{'2024-12-04': 69},1,28,{'2024-12-04': 40}
,,Spotlight Format for Sales Performance Manage Circles (new),219,8,E-learning,{'2024-12-04': 26},2,17,{'2024-12-04': 7}
,,Understanding Spotlight Circle Format,219,2,E-learning,{'2024-12-04': 100},13,22,{'2024-12-04': 65}
