Title,Type,Creation Date,Days Since Creation,Training Materials,Sessions,Enrollments,Not Started,Stuck,Completed
,,Cognitive Behavioral Coaching,524,2,E-learning,{'2024-12-04': 257},194,6,{'2024-12-04': 57}
,,Coaching Foundations Luminary Sessions: Coaching 101 Week 1,525,0,E-learning,{'2024-12-04': 0},0,0,{'2024-12-04': 0}
,,All Together: A virtual gathering of all BetterUp Coaches and staff,526,1,E-learning,{'2024-12-04': 375},116,0,{'2024-12-04': 259}
COB7 MS Completion New_CS,,Care Coach Onboarding Mock Session Completion,538,2,E-learning,{'2024-12-04': 256},168,38,{'2024-12-04': 50}
D,,Optional: Favorite Goal-Setting Interventions,540,2,E-learning,{'2024-12-04': 985},145,128,{'2024-12-04': 712}
CP:CMC_CS,,Luminary Content: Coaching for Motivation Certificate,543,1,E-learning,{'2024-12-04': 0},0,0,{'2024-12-04': 0}
,,Purpose: Peer Practice [English],543,0,ILT (Instructor-Led Training),{'2024-12-04': 0},526,0,{'2024-12-04': 0}
,,Exploration: Peer Practice [English],543,0,ILT (Instructor-Led Training),{'2024-12-04': 0},526,0,{'2024-12-04': 0}
,,Self-Esteem: Peer Practice [English],543,0,ILT (Instructor-Led Training),{'2024-12-04': 0},526,0,{'2024-12-04': 0}
,,High-Quality Connections: Peer Practice [English],543,2,ILT (Instructor-Led Training),{'2024-12-04': 42},384,33,{'2024-12-04': 110}
CP:CMC_CS,,Community of Practice: Self-Actualization Coaching Certificate,543,2,E-learning,{'2024-12-04': 549},253,293,{'2024-12-04': 3}
COP_HQC:LC_CS,,Purpose: Luminary Content,543,1,E-learning,{'2024-12-04': 547},547,0,{'2024-12-04': 0}
COP_HQC:LC_CS,,Exploration: Luminary Content,543,1,E-learning,{'2024-12-04': 546},546,0,{'2024-12-04': 0}
COP_HQC:LC_CS,,Self-Esteem: Luminary Content,543,1,E-learning,{'2024-12-04': 546},492,13,{'2024-12-04': 41}
COP_E:AVS_CS,,Purpose: Attendance Verification & Survey,543,0,E-learning,{'2024-12-04': 546},546,0,{'2024-12-04': 0}
COP_E:AVS_CS,,Exploration: Attendance Verification & Survey,543,0,E-learning,{'2024-12-04': 546},546,0,{'2024-12-04': 0}
COP_E:AVS_CS,,Self-Esteem: Attendance Verification & Survey,543,0,E-learning,{'2024-12-04': 546},546,0,{'2024-12-04': 0}
COP_E:AVS_CS,,High-Quality Connections: Attendance Verification & Survey [English Peer Practice],543,2,E-learning,{'2024-12-04': 544},429,7,{'2024-12-04': 108}
,,Watch Party: All Together,547,1,E-learning,{'2024-12-04': 224},55,0,{'2024-12-04': 169}
Sales Performance Trials 2.0 #2 (2023),,Sales Performance Coaching Trials 2.0,550,2,E-learning,{'2024-12-04': 98},19,0,{'2024-12-04': 79}
,,"June 21,2023 — All Together Recording",551,1,E-learning,{'2024-12-04': 951},167,132,{'2024-12-04': 652}
Sales Performance 2.0 #2 (2023),,Sales Performance Coaching 2.0,551,3,E-learning,{'2024-12-04': 246},33,5,{'2024-12-04': 208}
Sales Performance 2.0 #1 (2023),,Sales Performance Coaching Onboarding,551,3,E-learning,{'2024-12-04': 110},13,4,{'2024-12-04': 92}
,,All Together: A Virtual Gathering of all BetterUp Coaches and Staff,552,1,ILT (Instructor-Led Training),{'2024-12-04': 1},0,1,{'2024-12-04': 0}
,,Kraken Coaching - Briefing (June 2023 & Beyond),552,6,E-learning,{'2024-12-04': 88},15,9,{'2024-12-04': 64}
,,Sam's VILT sandbox: All Circle Sessions,553,8,ILT (Instructor-Led Training),{'2024-12-04': 3},3,3,{'2024-12-04': 1}
,,Jen's test course - certificate,553,1,E-learning,{'2024-12-04': 3},0,0,{'2024-12-04': 3}
,,Moderna Manager Academy Briefing (June 2023),558,7,E-learning,{'2024-12-04': 224},12,6,{'2024-12-04': 206}
COP_HQC:LC_CS,,High-Quality Connections: Luminary Content,560,3,E-learning,{'2024-12-04': 548},232,56,{'2024-12-04': 260}
COP_ICM_CS,,Intro to Self-Actualization Coaching,560,2,E-learning,{'2024-12-04': 546},119,77,{'2024-12-04': 350}
,,BetterUp Direct: Communication Coaching Pilot,561,2,E-learning,{'2024-12-04': 106},43,16,{'2024-12-04': 47}
,,A New Coaching Framework For Care (Pilot Only),562,2,E-learning,{'2024-12-04': 47},9,8,{'2024-12-04': 30}
,,A New Coaching Framework For Care,562,2,E-learning,{'2024-12-04': 623},30,10,{'2024-12-04': 583}
Welcome to BU Gov_CS,,Welcome to BetterUp for Government - Learner Feedback,571,1,E-learning,{'2024-12-04': 58},1,2,{'2024-12-04': 55}
BU to Gov SS_CS,,BetterUp for Government: Systems Set Up,579,5,E-learning,{'2024-12-04': 60},1,9,{'2024-12-04': 50}
Welcome to BU Gov_CS,,Welcome to BetterUp for Government,579,3,E-learning,{'2024-12-04': 61},0,5,{'2024-12-04': 56}
COB20 Conclusion_CS,,Conclusion to the Learning Plan,588,2,E-learning,{'2024-12-04': 756},375,3,{'2024-12-04': 378}
COB19 Profile Setup_CS,,Coach Profile Setup Optional Guide,588,3,E-learning,{'2024-12-04': 1008},574,0,{'2024-12-04': 434}
COB18 WPM Optional_CS,,Whole Person Model: Additional Optional Content,588,6,E-learning,{'2024-12-04': 757},374,0,{'2024-12-04': 383}
COB17 360_CS,,360 Guide,589,2,E-learning,{'2024-12-04': 760},371,7,{'2024-12-04': 382}
COB16 Resources_CS,,Resources Guide,589,3,E-learning,{'2024-12-04': 756},372,3,{'2024-12-04': 381}
COB15 Compensation_CS,,Introduction to Coach Compensation,589,2,E-learning,{'2024-12-04': 1011},576,7,{'2024-12-04': 428}
COB14 Worksuite_CS,,Worksuite Guide,589,3,E-learning,{'2024-12-04': 1008},575,4,{'2024-12-04': 429}
COB13 Coach Rematch_CS,,Coach Rematch Guide,589,3,E-learning,{'2024-12-04': 1008},576,4,{'2024-12-04': 428}
COB12 Scheduling_CS,,Scheduling and Committing to Member Sessions Guide,589,3,E-learning,{'2024-12-04': 756},376,4,{'2024-12-04': 376}
COB11 Reflection Points_CS,,Reflection Points Guide,589,3,E-learning,{'2024-12-04': 759},376,7,{'2024-12-04': 376}
COB10 Coaching Ethics_CS_Onboarding,,Coaching Ethics at BetterUp - Onboarding,589,3,E-learning,{'2024-12-04': 1011},558,19,{'2024-12-04': 434}
COB9 Intro CC_CS,,Introducing Coach Center,589,2,E-learning,{'2024-12-04': 1009},559,7,{'2024-12-04': 443}
COB8 GROWING_CS,,GROWING Model Guide,589,3,E-learning,{'2024-12-04': 759},365,6,{'2024-12-04': 388}
COB7 MS Completion New_CS,,Primary Coach Onboarding Mock Session Completion,589,2,E-learning,{'2024-12-04': 741},236,121,{'2024-12-04': 384}
COB6 2FA_CS,,Instructions For Coach 2-Factor-Authentication,589,2,E-learning,{'2024-12-04': 1009},360,8,{'2024-12-04': 641}
COB5 Mock Session_CS,,Mock Session Preparation Guide,589,3,E-learning,{'2024-12-04': 743},185,19,{'2024-12-04': 539}
COB4 WPM New_CS,,BetterUp's Whole Person Model,589,3,E-learning,{'2024-12-04': 758},192,23,{'2024-12-04': 543}
COB3 BU Video_CS,,BetterUp Video Guide,589,3,E-learning,{'2024-12-04': 1011},331,11,{'2024-12-04': 669}
COB2 Docebo_CS,,Docebo Guide,589,3,E-learning,{'2024-12-04': 1010},322,10,{'2024-12-04': 678}
COB1 Welcome_CS,,Welcome to the BetterUp Coach Onboarding Learning Plan,589,3,E-learning,{'2024-12-04': 1012},298,18,{'2024-12-04': 696}
COB Template_CS,,ZDraft - COB Template Course,589,0,E-learning,{'2024-12-04': 0},0,0,{'2024-12-04': 0}
,,Draft - Coach onboarding course template,593,0,E-learning,{'2024-12-04': 0},0,0,{'2024-12-04': 0}
,,HUD SES Readiness Program - Briefing,593,11,E-learning,{'2024-12-04': 30},1,1,{'2024-12-04': 28}
C_COM Live Events_CS,,Coaching for Motivation: Live Event Recordings,593,9,E-learning,{'2024-12-04': 491},86,283,{'2024-12-04': 122}
,,(Optional) EU Data Hosting Platform Experience: Refresher (April 2023),594,2,E-learning,{'2024-12-04': 181},117,18,{'2024-12-04': 46}
,,EU Data Hosting Platform Experience (2024),594,2,E-learning,{'2024-12-04': 361},36,11,{'2024-12-04': 314}
B_Coach Compensation_CS,,Coach Compensation at BetterUp,599,2,E-learning,{'2024-12-04': 3038},1943,183,{'2024-12-04': 912}
D_Optional Intro Coach Center 04.2023_CS,,"Optional: Introducing Coach Center, your new platform (April 2023)",600,2,E-learning,{'2024-12-04': 780},467,62,{'2024-12-04': 251}
,,Mental Health Awareness and Response for Coaches,602,3,E-learning,{'2024-12-04': 1026},112,254,{'2024-12-04': 660}
,,Ipsen Tripartite Coaching - Briefing,611,9,E-learning,{'2024-12-04': 56},2,3,{'2024-12-04': 51}
,,Ipsen Coaching - Briefing,611,7,E-learning,{'2024-12-04': 51},1,3,{'2024-12-04': 47}
,,Optional: First Session Framework,614,2,E-learning,{'2024-12-04': 2717},913,433,{'2024-12-04': 1371}
,,Ipsen 360 Coaching - Briefing,614,7,E-learning,{'2024-12-04': 66},0,3,{'2024-12-04': 63}
Apple LDP 0 Overview - Cohort 3/23_CS,,Apple Services Leadership Development Program Overview,623,3,E-learning,{'2024-12-04': 80},2,1,{'2024-12-04': 77}
,,AppleCare - Coach Briefing (March 2023),629,1,E-learning,{'2024-12-04': 4},2,0,{'2024-12-04': 2}
ACAD-FY24-001-April CF,,Coaching Foundations Program,630,26,E-learning,{'2024-12-04': 336},58,203,{'2024-12-04': 75}
Apple LDP 4 - Cohort 3/23_CS,,Apple Module Four - Deeper Conversations as Manager,635,3,E-learning,{'2024-12-04': 0},0,0,{'2024-12-04': 0}
Apple LDP 3 - Cohort 3/23_CS,,Apple Module Three Briefing - Goals and Objectives,635,2,E-learning,{'2024-12-04': 0},0,0,{'2024-12-04': 0}
Apple LDP 2 - Cohort 3/23_CS,,Apple Module Two Briefing - Growth and Development,635,2,E-learning,{'2024-12-04': 72},8,0,{'2024-12-04': 64}
Apple LDP 1 - Cohort 3/23_CS,,Apple Module One Briefing - Resilience,635,3,E-learning,{'2024-12-04': 74},6,4,{'2024-12-04': 64}
TEST - VILT,,Nanol's Test VILT,641,0,ILT (Instructor-Led Training),{'2024-12-04': 3},0,0,{'2024-12-04': 0}
RUSSELLTESTCOURSE,,RUSSELL'S TEST COURSE,648,1,E-learning,{'2024-12-04': 2},0,1,{'2024-12-04': 1}
,,Unilever - Coach Briefing,650,7,E-learning,{'2024-12-04': 641},41,26,{'2024-12-04': 574}
,,Citadel NXT Program Briefing,650,4,E-learning,{'2024-12-04': 20},1,3,{'2024-12-04': 16}
COP_F:AVS_CS,,Focusing: Attendance Verification & Survey,652,2,E-learning,{'2024-12-04': 1237},683,14,{'2024-12-04': 540}
COP_PPP_CS,,Prep for Peer Practice,652,1,E-learning,{'2024-12-04': 1355},567,21,{'2024-12-04': 767}
COP_EM:AVS_CS,,Evoking: Attendance Verification & Survey,656,2,E-learning,{'2024-12-04': 1237},707,1,{'2024-12-04': 529}
COP_E:AVS_CS,,Engaging: Attendance Verification & Survey,656,2,E-learning,{'2024-12-04': 1236},650,3,{'2024-12-04': 583}
,,"Optional: Introducing Coach Center, your new platform",656,2,E-learning,{'2024-12-04': 2045},1369,136,{'2024-12-04': 540}
,,Optional: Impact Metrics Progress Update,657,1,E-learning,{'2024-12-04': 2567},1548,220,{'2024-12-04': 799}
,,Well-Being Based Care Coaching,659,2,E-learning,{'2024-12-04': 47},0,2,{'2024-12-04': 45}
CP:CMC_CS,,Community of Practice: Coaching for Motivation Certificate,660,2,E-learning,{'2024-12-04': 1238},522,185,{'2024-12-04': 531}
EM:PP_CS,,Evoking: Peer Practice,660,1,ILT (Instructor-Led Training),{'2024-12-04': 191},692,15,{'2024-12-04': 530}
EM:LC_CS,,Evoking: Luminary Content,660,2,E-learning,{'2024-12-04': 1236},621,19,{'2024-12-04': 596}
F:PP_CS,,Focusing: Peer Practice,660,1,ILT (Instructor-Led Training),{'2024-12-04': 201},676,18,{'2024-12-04': 543}
F:LC_CS,,Focusing: Luminary Content,660,2,E-learning,{'2024-12-04': 1238},540,49,{'2024-12-04': 649}
COP_E:PP_CS,,Engaging: Peer Practice,660,1,ILT (Instructor-Led Training),{'2024-12-04': 222},610,32,{'2024-12-04': 595}
COP_E:LC_CS,,Engaging: Luminary Content,660,4,E-learning,{'2024-12-04': 1243},365,74,{'2024-12-04': 804}
COP_ICM_CS,,Intro to Coaching for Motivation,660,4,E-learning,{'2024-12-04': 1241},161,164,{'2024-12-04': 916}
,,Orientation to BetterUp Direct,671,3,E-learning,{'2024-12-04': 685},495,66,{'2024-12-04': 124}
,,Moderna Manager Academy Briefing (Feb 2023),671,6,E-learning,{'2024-12-04': 155},0,7,{'2024-12-04': 148}
,,Collective Resilience Pilot,671,1,E-learning,{'2024-12-04': 44},11,13,{'2024-12-04': 20}
,,Coach Enablement Module Example,678,3,E-learning,{'2024-12-04': 1},0,1,{'2024-12-04': 0}
SCP_CS,,Story Coaching Preview,686,11,E-learning,{'2024-12-04': 252},45,175,{'2024-12-04': 32}
,,Grab Executive Coaching - Coach Briefing,691,1,E-learning,{'2024-12-04': 23},1,0,{'2024-12-04': 22}
russelltestcourseelt01,,Russell Verification Checklist Test Course - eLearning,694,1,E-learning,{'2024-12-04': 1},0,0,{'2024-12-04': 1}
D_CGT_CS,,Coaching Guide for Tomorrowmind,698,3,E-learning,{'2024-12-04': 1058},346,412,{'2024-12-04': 300}
,,Orientation to BetterUp Direct: BetterUp Certified Coaches,698,5,E-learning,{'2024-12-04': 247},34,9,{'2024-12-04': 204}
,,Clinics,715,2,E-learning,{'2024-12-04': 11},5,5,{'2024-12-04': 1}
,,Introducing the WHO-5,732,2,E-learning,{'2024-12-04': 386},55,31,{'2024-12-04': 300}
,,PMI x BetterUp Coaching,734,3,E-learning,{'2024-12-04': 1},1,0,{'2024-12-04': 0}
,,"Your Coach platform, redesigned",734,3,E-learning,{'2024-12-04': 299},157,27,{'2024-12-04': 115}
,,[Optional] Peer Practice Survey - Missed Session,736,1,E-learning,{'2024-12-04': 1},0,1,{'2024-12-04': 0}
,,EU Data Hosting Platform Experience (November),747,2,E-learning,{'2024-12-04': 81},3,3,{'2024-12-04': 75}
,,Community of Practice: Fred Kofman Certificate,755,0,E-learning,{'2024-12-04': 3},3,0,{'2024-12-04': 0}
,,Challenging a member: Certificate,755,0,E-learning,{'2024-12-04': 3},3,0,{'2024-12-04': 0}
,,"Coaching an ""I don't know"" member: Certificate",755,0,E-learning,{'2024-12-04': 3},3,0,{'2024-12-04': 0}
,,Coaching for imposter syndrome: Certificate,755,0,E-learning,{'2024-12-04': 3},3,0,{'2024-12-04': 0}
,,Coaching through overwhelm: Certificate,760,1,E-learning,{'2024-12-04': 3},2,0,{'2024-12-04': 1}
,,Challenging a member: Peer Practice,762,3,ILT (Instructor-Led Training),{'2024-12-04': 9},3,0,{'2024-12-04': 1}
,,Coaching an “I don’t know” member: Peer Practice,762,0,ILT (Instructor-Led Training),{'2024-12-04': 1},3,1,{'2024-12-04': 0}
,,Optional: Coach AI Brain Trust Recording,764,2,E-learning,{'2024-12-04': 74},42,15,{'2024-12-04': 17}
,,Challenging a member: Luminary Content,765,2,E-learning,{'2024-12-04': 3},2,0,{'2024-12-04': 1}
,,"Coaching an ""I don't know"" member: Luminary Content",765,2,E-learning,{'2024-12-04': 3},2,0,{'2024-12-04': 1}
,,Samsung Semiconductor Inc. (SSI) Coach Briefing,777,2,E-learning,{'2024-12-04': 9},1,0,{'2024-12-04': 8}
,,PMI Asia Fast Track Program - Coach Briefing,782,3,E-learning,{'2024-12-04': 26},0,1,{'2024-12-04': 25}
,,Orientation to BetterUp Direct (2022),782,3,E-learning,{'2024-12-04': 105},10,4,{'2024-12-04': 91}
samtest,,Sam's Sandbox,784,9,E-learning,{'2024-12-04': 2},0,2,{'2024-12-04': 0}
,,Mock Session Overview (For Care CDs),790,1,E-learning,{'2024-12-04': 12},6,0,{'2024-12-04': 6}
,,Coaching for imposter syndrome: Peer Practice,791,0,ILT (Instructor-Led Training),{'2024-12-04': 8},3,1,{'2024-12-04': 0}
,,Intro to Community of Practice: Fred Kofman,791,1,E-learning,{'2024-12-04': 11},2,0,{'2024-12-04': 9}
,,Coaching through overwhelm: Peer Practice,791,4,ILT (Instructor-Led Training),{'2024-12-04': 14},5,6,{'2024-12-04': 3}
,,Coaching for imposter syndrome: Luminary Content,791,2,E-learning,{'2024-12-04': 3},1,2,{'2024-12-04': 0}
,,Coaching through overwhelm: Luminary Content,791,3,E-learning,{'2024-12-04': 12},2,2,{'2024-12-04': 8}
,,Apple Pilot (Module Two Briefing - Oct 2022),791,2,E-learning,{'2024-12-04': 68},5,0,{'2024-12-04': 63}
,,"[Archive] September 2022 Onboarding: Growth, Impact, and Compensation at BetterUp",796,2,E-learning,{'2024-12-04': 2945},1675,188,{'2024-12-04': 1082}
,,Unilever Pilot - Live Coach Briefing,797,1,E-learning,{'2024-12-04': 41},4,2,{'2024-12-04': 35}
,,CBT Peer Practice,802,3,ILT (Instructor-Led Training),{'2024-12-04': 4},0,47,{'2024-12-04': 0}
,,CBT Peer Practice Prework,802,1,E-learning,{'2024-12-04': 2},0,2,{'2024-12-04': 0}
,,Keynote Dry Run For Review 9/21,804,1,E-learning,{'2024-12-04': 7},0,1,{'2024-12-04': 6}
,,Amazon Pilot - Care,805,4,E-learning,{'2024-12-04': 445},89,27,{'2024-12-04': 329}
,,Amazon Pilot - Lead + Care,805,2,E-learning,{'2024-12-04': 121},5,3,{'2024-12-04': 113}
russelltestcourseilt01,,Russell Test Course ILT 01,810,4,ILT (Instructor-Led Training),{'2024-12-04': 1},0,3,{'2024-12-04': 0}
,,Twitch Trial Coach Briefing,813,3,E-learning,{'2024-12-04': 24},0,1,{'2024-12-04': 23}
,,Test for CBC Micro-Credential,818,2,ILT (Instructor-Led Training),{'2024-12-04': 11},0,1,{'2024-12-04': 0}
,,Optional: Self Discovery Assessments (SDAs),825,3,E-learning,{'2024-12-04': 83},13,8,{'2024-12-04': 62}
,,EU Data Hosting Platform Experience,832,2,E-learning,{'2024-12-04': 110},3,1,{'2024-12-04': 106}
,,Care Coach Overview - External Sales Trials,847,2,E-learning,{'2024-12-04': 137},39,3,{'2024-12-04': 94}
,,Salesforce Workshops for Teams,852,25,E-learning,{'2024-12-04': 52},6,17,{'2024-12-04': 28}
,,[ARCHIVED] Addendum: Google Manager Coaching - Briefing,854,2,E-learning,{'2024-12-04': 1536},529,129,{'2024-12-04': 878}
CA-FY23-002-CBC,,(Optional) BUCC Self Guided - Conscious Business Coaching,854,37,E-learning,{'2024-12-04': 45},19,22,{'2024-12-04': 4}
CA-FY23-001-MI,,Coaching Foundations - Conscious Business Coaching,854,50,E-learning,{'2024-12-04': 382},142,193,{'2024-12-04': 46}
,,OPENing Up: Leading Impactful Sessions On Care,863,3,E-learning,{'2024-12-04': 27},1,3,{'2024-12-04': 23}
,,Coaching BetterUp Employees: Alignment session - Oct 2022,865,1,E-learning,{'2024-12-04': 237},26,7,{'2024-12-04': 204}
CA-FY23-001-MI,,Coaching Foundations - Coaching for Motivation,889,48,E-learning,{'2024-12-04': 382},126,187,{'2024-12-04': 68}
,,Test (Apple),893,4,E-learning,{'2024-12-04': 1},0,1,{'2024-12-04': 0}
,,"[Archive] June 2022 Onboarding: Growth, Impact, and Compensation at BetterUp",893,3,E-learning,{'2024-12-04': 334},69,25,{'2024-12-04': 240}
,,Utilizing Care Resources In Your Coaching Work (Optional),895,3,E-learning,{'2024-12-04': 389},162,51,{'2024-12-04': 176}
,,BetterUp 360 Pilot Program,896,3,E-learning,{'2024-12-04': 35},2,2,{'2024-12-04': 31}
,,Example 1 - JW,896,1,E-learning,{'2024-12-04': 0},0,0,{'2024-12-04': 0}
,,Optional: The new BetterUp experience: Updates,900,4,E-learning,{'2024-12-04': 2357},1399,367,{'2024-12-04': 591}
,,BetterUp Direct - First Session Structure,900,3,E-learning,{'2024-12-04': 57},1,5,{'2024-12-04': 51}
,,Jen's Test Course,902,4,E-learning,{'2024-12-04': 4},2,0,{'2024-12-04': 2}
,,Working With Members In Distress (Optional),910,2,E-learning,{'2024-12-04': 281},59,63,{'2024-12-04': 159}
,,Test Course ID,910,0,E-learning,{'2024-12-04': 1},1,0,{'2024-12-04': 0}
306,,[ARCHIVED] WM: Coach Briefing Module,917,2,E-learning,{'2024-12-04': 582},15,22,{'2024-12-04': 463}
CA-FY23-001-CORE,,Coaching Foundations - Core Coaching Skills,918,45,E-learning,{'2024-12-04': 379},83,201,{'2024-12-04': 95}
CA-FY23-001-C101,,Coaching Foundations: Coaching 101,919,27,E-learning,{'2024-12-04': 378},54,151,{'2024-12-04': 173}
,,Salesforce Coaching Circles: Foundations for LOIC,921,12,E-learning,{'2024-12-04': 94},1,8,{'2024-12-04': 85}
,,Well-Being Assessment (Optional),937,3,E-learning,{'2024-12-04': 185},20,16,{'2024-12-04': 149}
,,Academy / BUCC Coach Compensation Statement: Video Walkthrough Example,940,4,E-learning,{'2024-12-04': 46},9,7,{'2024-12-04': 30}
,,Coach Compensation Statements: Video Walkthrough Examples,941,7,E-learning,{'2024-12-04': 2638},1371,708,{'2024-12-04': 559}
,,PwC Thrive Coach Briefing - 1:1 Coaching,960,4,E-learning,{'2024-12-04': 219},13,13,{'2024-12-04': 193}
,,PwC Thrive Coach Briefing - Coaching Circles,960,3,E-learning,{'2024-12-04': 38},0,7,{'2024-12-04': 31}
,,[ARCHIVED] Google Manager Coaching - Briefing,964,6,E-learning,{'2024-12-04': 1799},175,85,{'2024-12-04': 1539}
,,Conscious Business - BetterUp Managers Training,965,2,E-learning,{'2024-12-04': 12},1,0,{'2024-12-04': 11}
,,Academy ILT Test Course,973,0,ILT (Instructor-Led Training),{'2024-12-04': 1},0,1,{'2024-12-04': 0}
,,Twilio Executive Coaching - Coach Briefing,978,3,E-learning,{'2024-12-04': 34},5,2,{'2024-12-04': 27}
,,Coach Compensation at BetterUp (2022 Archived),979,1,E-learning,{'2024-12-04': 13},1,0,{'2024-12-04': 12}
,,"[Archived] Optional: Growth, Impact, and Compensation at BetterUp",987,3,E-learning,{'2024-12-04': 2630},859,527,{'2024-12-04': 1244}
,,Optional: Impact Metrics at BetterUp,999,3,E-learning,{'2024-12-04': 2705},683,314,{'2024-12-04': 1707}
,,Apple Pilot (Module Four Briefing),1008,3,E-learning,{'2024-12-04': 106},4,1,{'2024-12-04': 101}
,,MuleSoft (MSU) Coach Briefing,1031,1,E-learning,{'2024-12-04': 56},3,2,{'2024-12-04': 51}
,,"Twilio Executive Coaching ""Trial"" Briefing",1042,1,E-learning,{'2024-12-04': 6},1,0,{'2024-12-04': 5}
,,Optional: Welcome to the new BetterUp experience,1044,7,E-learning,{'2024-12-04': 3526},1580,814,{'2024-12-04': 1132}
CA-MVE-MOTIVATION-001-2022,,Coach Academy - Foundations: Coaching for Motivation,1044,43,E-learning,{'2024-12-04': 171},45,88,{'2024-12-04': 38}
,,DEIB Peer Practice Prework: Incorporating Mindfulness into DEIB (Jan 28),1049,5,E-learning,{'2024-12-04': 8},0,2,{'2024-12-04': 6}
